,Game,Hours_watched,Prediccion enero 2024:1 seguirá/0 no seguirá,Hours Watched 2024,Diferencia Hours Watched (%)
0,Just Chatting,264212906.0,1,284310944.0,7.0
1,League of Legends,126494155.0,1,142462176.0,12.0
2,Escape from Tarkov,113747925.0,1,115256304.0,1.0
3,Grand Theft Auto V,111789032.0,1,115338552.0,3.0
4,VALORANT,80943179.0,1,69758296.0,-13.0
5,Minecraft,72872812.0,1,71090464.0,-2.0
6,Dota 2,43317513.0,1,52953308.0,22.0
7,Fortnite,42715772.0,1,74630520.0,74.0
8,Call of Duty: Warzone,39731854.0,1,53391196.0,34.0
9,Counter-Strike: Global Offensive,39153067.0,1,48750408.0,24.0
10,FIFA 23,35628664.0,1,42075828.0,18.0
11,Apex Legends,35269630.0,1,60170148.0,70.0
12,World of Warcraft,34357942.0,1,36186824.0,5.0
13,Overwatch 2,25907337.0,1,22522918.0,-13.0
14,Sports,23769680.0,1,8286808.0,-65.0
15,Teamfight Tactics,22047359.0,1,26086032.0,18.0
16,Rust,20005535.0,1,25818246.0,29.0
17,Music,18896923.0,1,24573264.0,30.0
18,Dead by Daylight,18295955.0,1,24270700.0,32.0
19,Virtual Casino,16558867.0,1,22685072.0,36.0
20,Call of Duty: Modern Warfare II,15772936.0,1,10957537.0,-30.0
21,Hearthstone,14337831.0,1,15556182.0,8.0
22,Elden Ring,13724719.0,1,20220624.0,47.0
23,Genshin Impact,13712693.0,1,6250098.0,-54.0
24,Special Events,12316428.0,1,1751221.0,-85.0
25,Slots,11936273.0,1,17653730.0,47.0
26,Lost Ark,10632326.0,1,13038124.0,22.0
27,ASMR,10061417.0,1,9990937.0,0.0
28,Final Fantasy XIV Online,9838958.0,1,11592639.0,17.0
29,Rocket League,9187070.0,1,22471484.0,144.0
30,Chess,8720066.0,1,8615545.0,-1.0
31,Path of Exile,8435257.0,1,5064507.0,-39.0
32,Art,8143791.0,1,12931931.0,58.0
33,Dead Space,7730999.0,1,-1608609.0,-120.0
34,PokÃ©mon Scarlet/Violet,7654693.0,1,26522612.0,246.0
35,PUBG: BATTLEGROUNDS,7033007.0,1,9662023.0,37.0
36,World of Tanks,7017617.0,1,4560258.0,-35.0
37,Old School RuneScape,6472661.0,1,5614094.0,-13.0
38,Tom Clancy's Rainbow Six Siege,6140298.0,1,5538891.0,-9.0
39,Destiny 2,5917894.0,1,5529967.0,-6.0
40,I'm Only Sleeping,5866029.0,1,4815457.0,-17.0
41,Poker,5545176.0,1,6223553.0,12.0
42,SMITE,5422451.0,0,596121.0,-89.0
43,DayZ,5102897.0,1,6684782.0,30.0
44,Retro,5075707.0,1,4751969.0,-6.0
